magicka.1.d;Я чувствую, как моя сила медленно возвращается. Я восстановил часть своей магии.;;;;;;;;;;;;;x
EVTOPTB600119;Я стану Нибенейцем, ученым и магом из Восточного Сиродиила.;;;;;;;;;;;;;x;
EVTOPTC600119;Я стану Коловианцем, представителем волевого и воинственного народа из Западного Сиродиила.;;;;;;;;;;;;;x ;
EVTOPTD600119;О чем я думаю? Quod licet Jovi, non licet bovi.;;;;;;;;;;;;;x;
transform_nord;Нордская Трансформация;;;;;;;;;;;;;x;
transform_nord_desc;Используйте Нордскую Трансформацию, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600120;Используйте магию Изменения, чтобы преобразовать себя в человека из Скайрима.;;;;;;;;;;;;;x;
EVTOPTA600120;Я стану Нордом, потомком людей, поселившихся на севере Тамриэля.;;;;;;;;;;;;;x;
EVTOPTB600120;Я стану Скаалом, жителем Солстхейма.;;;;;;;;;;;;;x;
EVTOPTC600120;Я стану Атморцем, предком всех людей.;;;;;;;;;;;;;x;
EVTOPTD600120;О чем я думаю? Драккары и мёд мне никогда не нравились.;;;;;;;;;;;;;x;
transform_breton;Трансформация Запада;;;;;;;;;;;;;x;
transform_breton_desc;Заклинание "Трансформация Запада" позволит вам обрести облик западного недийца.;;;;;;;;;;;;;x;
EVTDESC600121;Используйте магию Изменения, чтобы преобразовать себя в человека из Хай Рока.;;;;;;;;;;;;;x;
EVTOPTA600121;Я стану Бретоном, помесью людей и меров.;;;;;;;;;;;;;x;
EVTOPTB600121;Я стану Ричменом, помесью Бретонцев и многих других человеческих народов.;;;;;;;;;;;;;x;
EVTOPTC600121;"О чем я думаю? Полукровок часто неуважают ""родители""";;;;;;;;;;;;;x;
transform_redguard;Редгардская Трансформация;;;;;;;;;;;;;x;
transform_redguard_desc;Используйте Редгардскую Трансформацию, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600122;Используйте магию Изменения, чтобы преобразовать себя в человека из Хаммерфелла.;;;;;;;;;;;;;x;
EVTOPTA600122;Я стану Предшественником, потомком первой волны Ра'Гада.;;;;;;;;;;;;;x;
EVTOPTB600122;Я стану Венценосцем, традиционалистом  из правящего класса бывшей Йокуды.;;;;;;;;;;;;;x;
EVTOPTC600122;Я стану Йокуданцем, жителем одного из осколков Йокуды.;;;;;;;;;;;;;x;
EVTOPTD600122;О чем я думаю? Если моя кожа станет чёрной, как я буду краснеть?;;;;;;;;;;;;;x;
transform_altmer;Альтмерская трансформация;;;;;;;;;;;;;x;
transform_altmer_desc;Альтмерская трансформация позволит вам стать высоким эльфом Алинора.;;;;;;;;;;;;;x;
EVTDESC600123;Используйте магию Изменения, чтобы преобразовать себя в Высшего Эльфа из Алинора.;;;;;;;;;;;;;x;
EVTOPTA600123;Я стану Альтмером, жителем Алинора, одержимым идеей чистокровности.;;;;;;;;;;;;;x;
EVTOPTB600123;О чём я думаю? Я не хочу быть жёлтокожим гигантом с манией величия.;;;;;;;;;;;;;x;
transform_bosmer;Босмерская Трансформация;;;;;;;;;;;;;x;
transform_bosmer_desc;Используйте Босмерскую Трансформацию, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600124;Используйте магию Изменения, чтобы преобразовать себя в лесного эльфа из Валенвуда.;;;;;;;;;;;;;x;
EVTOPTA600124;Я стану Босмером, одним из лучников Валенвуда.;;;;;;;;;;;;;x;
EVTOPTB600124;О чем я думаю? Я не хочу быть лешим-каннибалом.;;;;;;;;;;;;;x;
transform_maormer;Маормерская Трансформация;;;;;;;;;;;;;x;
transform_maormer_desc;Используйте Маормерскую Трансформацию, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600125;Используйте магию Изменения, чтобы преобразовать себя в морского эльфа из Пианонеи.;;;;;;;;;;;;;x;
EVTOPTA600125;Я стану Маормером, морским эльфом, живущим к югу от Тамриэля.;;;;;;;;;;;;;x;
EVTOPTB600125;О чем я думаю? Пиратство и джунгли оставим для других…;;;;;;;;;;;;;x;
transform_ayleid;Айлейдская Трансформация;;;;;;;;;;;;;x;
transform_ayleid_desc;Используйте Айлейдскую Трансформацию, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600126;Используйте магию Изменения, чтобы преобразовать себя в дикого эльфа из Хартленда.;;;;;;;;;;;;;x;
EVTOPTA600126;Я стану Айлейдом, представителем древнего народа меров, процветавшего когда-то в Сиродииле.;;;;;;;;;;;;;x;
EVTOPTB600126;О чем я думаю? Умарил всё равно проиграл.;;;;;;;;;;;;;x;
transform_falmer;Фалмерская Трансформация;;;;;;;;;;;;;x;
transform_falmer_desc;Используйте Фалмерскую Трансформацию, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600127;Используйте магию Изменения, чтобы преобразовать себя в снежного эльфа из Скайрима.;;;;;;;;;;;;;x;
EVTOPTA600127;Я стану Фалмером, представителем народа снежных эльфов, некогда населявших Скайрим.;;;;;;;;;;;;;x;
EVTOPTB600127;О чем я думаю? Говорят, люди убивают фалмеров ради ушей…;;;;;;;;;;;;;x;
transform_dunmer;Данмерская Трансформация;;;;;;;;;;;;;x;
transform_dunmer_desc;Используйте Данмерскую Трансформацию, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600128;Используйте магию Изменения, чтобы преобразовать себя в тёмного эльфа из Морровинда.;;;;;;;;;;;;;x;
EVTOPTA600128;Я стану Данмером, ксенофобским мером из Морровинда.;;;;;;;;;;;;;x;
EVTOPTB600128;Я стану Эшлендером, жителем Вварденфелла.;;;;;;;;;;;;;x;
EVTOPTC600128;О чем я думаю? За красные глаза меня сочтут вампиром.;;;;;;;;;;;;;x;
transform_chimer;Кимерская Трансформация;;;;;;;;;;;;;x;
transform_chimer_desc;Используйте Кимерскую Трансформацию, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600129;Используйте магию Изменения, чтобы преобразовать себя в эльфа с Катноквея.;;;;;;;;;;;;;x;
EVTOPTA600129;Я стану Кимером, одним из Данмеров, избежавших гнева Азуры и её проклятия.;;;;;;;;;;;;;x;
EVTOPTB600129;О чем я думаю? Моё тело меня устраивает.;;;;;;;;;;;;;x;
transform_orsimer;Орсимерская Трансформация;;;;;;;;;;;;;x;
transform_orsimer_desc;Используйте Орсимерскую Трансформацию, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600130;Используйте магию Изменения, чтобы преобразовать себя в орка из Орсиниума.;;;;;;;;;;;;;x;
EVTOPTA600130;Я стану Орсимером, воинственным поклонником Малаката.;;;;;;;;;;;;;x;
EVTOPTB600130;О чем я думаю? Малакат же был помётом Боэтии…;;;;;;;;;;;;;x;
transform_suthay;Каджитская Трансформация;;;;;;;;;;;;;x;
transform_suthay_desc;Используйте Каджитскую Трансформацию, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600131;Используйте магию Изменения, чтобы преобразовать себя в Каджита пароды Сутай.;;;;;;;;;;;;;x;
EVTOPTA600131;Я стану Сутай, принадлежащим к Пеллетинской культуре.;;;;;;;;;;;;;x;
EVTOPTB600131;Я стану Сутай, принадлежащим к Анеквинской культуре.;;;;;;;;;;;;;x;
EVTOPTC600131;О чем я думаю? Каджиты - это не только ценный мех…;;;;;;;;;;;;;x;
transform_suthayraht;Трансформация в Сутай-Рат;;;;;;;;;;;;;x;
transform_suthayraht_desc;Используйте Трансформацию в Сутай-Рат, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600132;Используйте магию Изменения, чтобы преобразовать себя в Каджита пароды Сутай-Рат.;;;;;;;;;;;;;x;
EVTOPTA600132;Я стану Сутай-Рат, принадлежащим к Пеллетинской культуре.;;;;;;;;;;;;;x;
EVTOPTB600132;Я стану Сутай-Рат, принадлежащим к Анеквинской культуре.;;;;;;;;;;;;;x;
EVTOPTC600132;О чем я думаю? Каджиты - это не только ценный мех...;;;;;;;;;;;;;x;
transform_argonian;Аргонианская Трансформация;;;;;;;;;;;;;x;
transform_argonian_desc;Используйте Аргонианскую Трансформацию, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600133;Используйте магию Изменения, чтобы преобразовать себя в Аргонианина из Чернотопья.;;;;;;;;;;;;;x;
EVTOPTA600133;Я стану Аргонианином, принадлежащим к Агацефской культуре.;;;;;;;;;;;;;x;
EVTOPTB600133;Я стану Аргонианином, принадлежащим к Аркейнской культуре.;;;;;;;;;;;;;x;
EVTOPTC600133;Я стану Аргонианином, принадлежащим к культуре Паатру.;;;;;;;;;;;;;x;
EVTOPTD600133;Я хочу посмотреть еще несколько возможных культур, чтобы выбрать из них.;;;;;;;;;;;;;x;
EVTOPTE600133;О чем я думаю? Я не хочу, чтобы из моей кожи сделали сапоги!;;;;;;;;;;;;;x;
EVTDESC600134;Используйте магию Изменения, чтобы преобразовать себя в Аргонианина из Чернотопья.;;;;;;;;;;;;;x;
EVTOPTA600134;Я стану Аргонианином, принадлежащим к культуре Сарпа.;;;;;;;;;;;;;x;
EVTOPTB600134;Я стану Аргонианином, принадлежащим к культуре Нага.;;;;;;;;;;;;;x;
EVTOPTC600134;Я стану Аргонианином, принадлежащим к культуре Лукиул.;;;;;;;;;;;;;x;
EVTOPTD600134;Давайте вернемся к предыдущей странице...;;;;;;;;;;;;;x;
EVTOPTE600134;О чем я думаю? Я не хочу, чтобы из моей кожи сделали сапоги!;;;;;;;;;;;;;x;
transform_islander;Айлендерская Трансформация;;;;;;;;;;;;;x;
transform_islander_desc;Используйте Айлендерскую Трансформацию, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600135;Используйте магию Изменения, чтобы преобразовать себя в человека, живущего за пределами Тамриэля.;;;;;;;;;;;;;x;
EVTOPTA600135;Я стану Квеем,  представителем народа, населяющего острова к востоку от Тамриэля.;;;;;;;;;;;;;x;
EVTOPTB600135;О чем я думаю? Умарил всё равно проиграл.;;;;;;;;;;;;;x;
transform_akaviri;Акавирская Трансформация;;;;;;;;;;;;;x;
transform_akaviri_desc;Используйте Акавирскую Трансформацию, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600136;Используйте магию Изменения, чтобы преобразовать себя в человека с Акавира.;;;;;;;;;;;;;x;
EVTOPTA600136;Я стану Акавирцем, человеческим обитателем континента Акавир.;;;;;;;;;;;;;x;
EVTOPTB600136;О чем я думаю? Как я буду видеть с такими узкими глазами?;;;;;;;;;;;;;x;
transform_potun;Потунская Трансформация;;;;;;;;;;;;;x;
transform_potun_desc;Используйте Потунскую Трансформацию, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600137;Используйте магию Изменения, чтобы преобразовать себя в зверочеловека с Акавира.;;;;;;;;;;;;;x;
EVTOPTA600137;Я стану Ка По'Тунцем, представителем тигроподобного народа с юго-восточного Акавира.;;;;;;;;;;;;;x;
EVTOPTB600137;О чем я думаю? Тигриные шкуры нынче не в моде…;;;;;;;;;;;;;x;
transform_tangmo;Трансформация в Танг Мо;;;;;;;;;;;;;x;
transform_tangmo_desc;Используйте Трансформацию в Танг Мо, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600138;Используйте магию Изменения, чтобы преобразовать себя в обезьяночеловека с южного Акавира.;;;;;;;;;;;;;x;
EVTOPTA600138;Я стану Танг Мо, представителей обезьянолюдей, живущих в южном Акавире.;;;;;;;;;;;;;x;
EVTOPTB600138;О чем я думаю? Труд не вернёт обезъяне человечность.;;;;;;;;;;;;;x;
transform_tsaesci;Трансформация в Цаэски;;;;;;;;;;;;;x;
transform_tsaesci_desc;Используйте Трансформация в Цаэски, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600139;Используйте магию Изменения, чтобы преобразовать себя в змеечеловека с Акавира.;;;;;;;;;;;;;x;
EVTOPTA600139;Я стану Цаэски, представителем змееподобного народа с северного Акавира.;;;;;;;;;;;;;x;
EVTOPTB600139;О чем я думаю? Мне плохо даются шипящие согласные.;;;;;;;;;;;;;x;
transform_kamal;Трансформация в Камаль;;;;;;;;;;;;;x;
transform_kamal_desc;Используйте Трансформацию в Камаль, чтобы навсегда изменить свою расу.;;;;;;;;;;;;;x;
EVTDESC600140;Магия школы Изменения позволит вам превратится в Камаль.;;;;;;;;;;;;;x;
EVTOPTA600140;Я стану пугающим представителем рода Камаль, из Южного Акавира.;;;;;;;;;;;;;x;
EVTOPTB600140;О чём я думаю? Лучше подождать Закатного вторжения.;;;;;;;;;;;;;x;
drain_health;Вытянуть Здоровье;;;;;;;;;;;;;x;
drain_health_desc;Используйте заклинание Вытянуть Здоровье, чтобы уменьшить здоровье у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600141;Используйте магию Разрушения, чтобы временно уменьшить здоровье у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600141;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600141;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600141;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600141;Я передумал.;;;;;;;;;;;;;x;
spell_drain_health_1;Вытянуть Здоровье;;;;;;;;;;;;;x;
spell_drain_health_2;Вытянуть Здоровье;;;;;;;;;;;;;x;
spell_drain_health_3;Вытянуть Здоровье;;;;;;;;;;;;;x;
drain_fertility;Вытянуть Плодовитость;;;;;;;;;;;;;x;
drain_fertility_desc;Используйте заклинание Вытянуть Плодовитость, чтобы уменьшить плодовитость у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600142;Используйте магию Разрушения, чтобы временно уменьшить плодовитость у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600142;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600142;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600142;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600142;Я передумал.;;;;;;;;;;;;;x;
spell_drain_fertility_1;Вытянуть Плодовитость;;;;;;;;;;;;;x;
spell_drain_fertility_2;Вытянуть Плодовитость;;;;;;;;;;;;;x;
spell_drain_fertility_3;Вытянуть Плодовитость;;;;;;;;;;;;;x;
drain_diplomacy;Вытянуть Красноречие;;;;;;;;;;;;;x;
drain_diplomacy_desc;Используйте заклинание Вытянуть Красноречие, чтобы уменьшить навык дипломатии у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600143;Используйте магию Разрушения, чтобы временно уменьшить навык Дипломатии у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600143;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600143;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600143;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600143;Я передумал.;;;;;;;;;;;;;x;
spell_drain_diplomacy_1;Вытянуть Красноречие;;;;;;;;;;;;;x;
spell_drain_diplomacy_2;Вытянуть Красноречие;;;;;;;;;;;;;x;
spell_drain_diplomacy_3;Вытянуть Красноречие;;;;;;;;;;;;;x;
drain_martial;Вытянуть Силу;;;;;;;;;;;;;x;
drain_martial_desc;Используйте заклинание Вытянуть Силу, чтобы уменьшить военный навык у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600144;Используйте магию Разрушения, чтобы временно уменьшить Военный навык у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600144;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600144;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600144;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600144;Я передумал.;;;;;;;;;;;;;x;
spell_drain_martial_1;Вытянуть Силу;;;;;;;;;;;;;x;
spell_drain_martial_2;Вытянуть Силу;;;;;;;;;;;;;x;
spell_drain_martial_3;Вытянуть Силу;;;;;;;;;;;;;x;
drain_stewardship;Вытянуть Управление;;;;;;;;;;;;;x;
drain_stewardship_desc;Используйте заклинание Вытянуть Управление, чтобы уменьшить навык управления у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600145;Используйте магию Разрушения, чтобы временно уменьшить навык Управления у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600145;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600145;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600145;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600145;Я передумал.;;;;;;;;;;;;;x;
spell_drain_stewardship_1;Вытянуть Управление;;;;;;;;;;;;;x;
spell_drain_stewardship_2;Вытянуть Управление;;;;;;;;;;;;;x;
spell_drain_stewardship_3;Вытянуть Управление;;;;;;;;;;;;;x;
drain_intrigue;Вытянуть Скрытность;;;;;;;;;;;;;x;
drain_intrigue_desc;Используйте заклинание Вытянуть Скрытность, чтобы уменьшить навык интриги у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600146;Используйте магию Разрушения, чтобы временно уменьшить навык Интриги у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600146;;Я выберу малую версию заклинания.;;;;;;;;;;;;;x
EVTOPTB600146;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600146;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600146;Я передумал.;;;;;;;;;;;;;x;
spell_drain_intrigue_1;Вытянуть Скрытность;;;;;;;;;;;;;x;
spell_drain_intrigue_2;Вытянуть Скрытность;;;;;;;;;;;;;x;
spell_drain_intrigue_3;Вытянуть Скрытность;;;;;;;;;;;;;x;
drain_learning;Вытянуть Интеллект;;;;;;;;;;;;;x;
drain_learning_desc;Используйте заклинание Вытянуть Интеллект, чтобы уменьшить Образованность у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600147;Используйте магию Разрушения, чтобы временно уменьшить Образованность у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600147;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600147;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600147;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600147;Я передумал.;;;;;;;;;;;;;x;
spell_drain_learning_1;Вытянуть Интеллект;;;;;;;;;;;;;x;
spell_drain_learning_2;Вытянуть Интеллект;;;;;;;;;;;;;x;
spell_drain_learning_3;Вытянуть Интеллект;;;;;;;;;;;;;x;
drain_prestige;Вытянуть Престиж;;;;;;;;;;;;;x;
drain_prestige_desc;Используйте заклинание Вытянуть Престиж, чтобы уменьшить Престиж у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600148;Используйте магию Разрушения, чтобы временно уменьшить Престиж у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600148;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600148;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600148;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600148;Я передумал.;;;;;;;;;;;;;x;
spell_drain_prestige_1;Вытянуть Престиж;;;;;;;;;;;;;x;
spell_drain_prestige_2;Вытянуть Престиж;;;;;;;;;;;;;x;
spell_drain_prestige_3;Вытянуть Престиж;;;;;;;;;;;;;x;
drain_piety;Вытянуть Благосклонность;;;;;;;;;;;;;x;
drain_piety_desc;Используйте заклинание Вытянуть Благосклонность, чтобы уменьшить Благосклонность у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600149;Используйте магию Разрушения, чтобы временно уменьшить Благосклонность у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600149;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600149;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600149;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600149;Я передумал.;;;;;;;;;;;;;x;
spell_drain_piety_1;Вытянуть Благосклонность;;;;;;;;;;;;x;;
spell_drain_piety_2;Вытянуть Благосклонность;;;;;;;;;;;;x;;
spell_drain_piety_3;Вытянуть Благосклонность;;;;;;;;;;;;x;;
fools_gold_spell;Золото Дураков;;;;;;;;;;;;;x;
fools_gold_spell_desc;Используйте заклинание Золото Дураков, чтобы уменьшить доходы у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600150;Используйте магию Изменения, чтобы уменьшить доходы у вашей цели..;;;;;;;;;;;;;x;
EVTOPTA600150;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600150;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600150;Я выберу большую версию заклинания;;;;;;;;;;;;;x;
EVTOPTD600150;Я передумал.;;;;;;;;;;;;;x;
spell_foolsgold_1;Золото Дураков;;;;;;;;;;;;;x;
spell_foolsgold_2;Золото Дураков;;;;;;;;;;;;;x;
spell_foolsgold_3;Золото Дураков;;;;;;;;;;;;;x;
reduce_global_opinion;Оскверняющее Присутствие;;;;;;;;;;;;;x;
reduce_global_opinion_desc;Используйте заклинание Оскверняющее Присутствие, чтобы ухудшить отношение других людей к себе.;;;;;;;;;;;;;x;
EVTDESC600151;Используйте магию Иллюзии, чтобы ухудшить отношения с другими людьми.;;;;;;;;;;;;;x;
EVTOPTA600151;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600151;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600151;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600151;Я передумал.;;;;;;;;;;;;;x;
spell_frenzy_global_opinion_1;Оскверняющее Присутствие;;;;;;;;;;;;;x;
spell_frenzy_global_opinion_2;Оскверняющее Присутствие;;;;;;;;;;;;;x;
spell_frenzy_global_opinion_3;Оскверняющее Присутствие;;;;;;;;;;;;;x;
spell_curse_construction;Проклятие Строительства;;;;;;;;;;;;;x;
spell_curse_construction_desc;Увеличить затраты на строительство и сроки строительства;;;;;;;;;;;;;x;
EVTDESC600152;Использовать магию Изменения, чтобы замедлить процесс строительства, увеличить стоимость и время строительства.;;;;;;;;;;;;;x;
EVTOPTA600152;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600152;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600152;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600152;Я передумал.;;;;;;;;;;;;;x;
spell_curse_building_1;Проклятие Строительства;;;;;;;;;;;;;x;
spell_curse_building_2;Проклятие Строительства;;;;;;;;;;;;;x;
spell_curse_building_3;Проклятие Строительства;;;;;;;;;;;;;x;
reduce_combat_rating;Ослабление;;;;;;;;;;;;;x;
reduce_combat_rating_desc;Используйте заклинание Ослабление, чтобы уменьшить боевую доблесть у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600153;Используйте магию Разрушения для того, чтобы ослабить боевые навыки цели.;;;;;;;;;;;;;x;
EVTOPTA600153;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600153;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600153;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600153;Я передумал.;;;;;;;;;;;;;x;
spell_drain_combat_1;Расслабление;;;;;;;;;;;;;x;
spell_drain_combat_2;Расслабление;;;;;;;;;;;;;x;
spell_drain_combat_3;Расслабление;;;;;;;;;;;;;x;
reduce_global_income;Скудная Нажива;;;;;;;;;;;;;x;
reduce_global_income_desc;Снижение глобальных доходов;;;;;;;;;;;;;x;
EVTDESC600154;Использовать магию Изменения, чтобы уменьшить глобальный доход.;;;;;;;;;;;;;x;
EVTOPTA600154;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600154;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600154;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600154;Я передумал.;;;;;;;;;;;;;x;
spell_reduce_global_income_1;Скудная Нажива;;;;;;;;;;;;;x;
spell_reduce_global_income_2;Скудная Нажива;;;;;;;;;;;;;x;
spell_reduce_global_income_3;Скудная Нажива;;;;;;;;;;;;;x;
global_frenzy;Массовое Помешательство;;;;;;;;;;;;;x;
global_frenzy_desc;Увеличить глобальный риск восстания;;;;;;;;;;;;;x;
EVTDESC600155;Использовать магию Иллюзии, чтобы увеличить глобальный риск восстания.;;;;;;;;;;;;;x;
EVTOPTA600155;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600155;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600155;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600155;Я передумал.;;;;;;;;;;;;;x;
spell_global_frenzy_1;Массовое Помешательство;;;;;;;;;;;;;x;
spell_global_frenzy_2;Массовое Помешательство;;;;;;;;;;;;;x;
spell_global_frenzy_3;Массовое Помешательство;;;;;;;;;;;;;x;
reduce_local_opinion;Манипулировать Эмоциями (Ухудшение);;;;;;;;;;;;;x;
reduce_local_opinion_desc;Ухудшить у вашей цели отношения с местными правителями;;;;;;;;;;;;;x;
EVTDESC600156;Используйте магию Иллюзии, чтобы ухудшить отношения с местной знатью у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600156;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600156;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600156;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600156;Я передумал.;;;;;;;;;;;;;x;
spell_frenzy_local_opinion_1;Манипулировать Эмоциями;;;;;;;;;;;;;x;
spell_frenzy_local_opinion_2;Манипулировать Эмоциями;;;;;;;;;;;;;x;
spell_frenzy_local_opinion_3;Манипулировать Эмоциями;;;;;;;;;;;;;x;
reduce_global_morale;Вызвать Страх;;;;;;;;;;;;;x;
reduce_global_morale_desc;Уменьшить боевой дух у наземных войск;;;;;;;;;;;;;x;
EVTDESC600157;Используйте магию Иллюзии, чтобы уменьшить боевой дух у наземных войск.;;;;;;;;;;;;;x;
EVTOPTA600157;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600157;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600157;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600157;Я передумал.;;;;;;;;;;;;;x;
spell_reduce_global_morale_1;Вызвать Страх;;;;;;;;;;;;;x;
spell_reduce_global_morale_2;Вызвать Страх;;;;;;;;;;;;;x;
spell_reduce_global_morale_3;Вызвать Страх;;;;;;;;;;;;;x;
decay_global_morale;Скрывать Информацию (Ухудшение);;;;;;;;;;;;;x;
decay_global_morale_desc;Ухудшить организацию у солдат вотчины, служащих вашей цели.;;;;;;;;;;;;;x;
EVTDESC600158;Используйте магию Иллюзии, чтобы ухудшить организацию у солдат вотчины.;;;;;;;;;;;;;x;
EVTOPTA600158;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600158;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600158;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600158;Я передумал.;;;;;;;;;;;;;x;
spell_decay_global_morale_1;Скрывать Информацию;;;;;;;;;;;;;x;
spell_decay_global_morale_2;Скрывать Информацию;;;;;;;;;;;;;x;
spell_decay_global_morale_3;Скрывать Информацию;;;;;;;;;;;;;x;
break_army_weapons;Прощай, оружие!;;;;;;;;;;;;;x;
break_army_weapons_desc;Снизить атакующую способность солдат.;;;;;;;;;;;;;x;
